日期,总确诊数,新增确诊数,总治愈数,总死亡数,新增死亡数,新增治愈数
﻿01.24,62,19,0,0,0,0
01.25,104,42,0,0,0,0
01.26,128,24,0,0,0,0
01.27,173,45,1,0,0,1
01.28,296,123,3,0,0,2
01.29,428,132,4,0,0,1
01.30,537,109,9,0,0,5
01.31,599,62,15,0,0,6
02.01,661,62,23,0,0,8
02.02,724,63,36,0,0,13
02.03,829,105,48,0,0,12
02.04,895,66,63,0,0,15
02.05,954,59,81,0,0,18
02.06,1006,52,98,0,0,17
02.07,1048,42,127,0,0,29
02.08,1075,27,173,0,0,46
02.09,1092,29,201,0,0,28
02.10,1092,29,239,0,0,38
02.11,1131,14,279,0,0,40
02.12,1145,14,327,0,0,48
02.13,1155,10,367,0,0,40
02.14,1162,7,409,0,0,42
02.15,1167,5,437,0,0,28
02.16,1171,4,470,0,0,33
02.17,1172,1,514,0,0,44
02.18,1173,1,544,0,0,30
02.19,1175,2,609,0,0,65
02.20,1203,28,647,1,1,38
02.21,1205,22,694,1,0,47
02.22,1205,0,729,1,0,35
02.23,1205,0,765,1,0,36
02.24,1205,0,794,1,0,29
02.25,1205,0,814,1,0,20
02.26,1205,0,881,1,0,67
02.27,1205,0,943,1,0,62
02.28,1205,0,987,1,0,44
02.29,1205,0,1027,1,0,40
03.01,1206,0,1050,1,0,23
03.02,1213,7,1086,1,0,36
03.03,1213,0,1107,1,0,21
03.04,1215,2,1130,1,0,23
03.05,1215,2,1130,1,0,0
03.06,1215,0,1161,1,0,31
03.07,1215,0,1169,1,0,8
03.08,1215,0,1182,1,0,13
03.09,1215,0,1190,1,0,8
03.10,1215,0,1205,1,0,15
03.11,1215,0,1209,1,0,4
03.12,1215,0,1209,1,0,0
03.13,1227,0,1211,1,0,2
03.14,1231,4,1211,1,0,0
03.15,1231,0,1213,1,0,2
03.16,1231,1,1213,1,0,0
03.17,1232,0,1216,1,0,3
03.18,1233,1,1217,1,0,1
03.19,1233,1,1217,1,0,0
03.20,1236,2,1219,1,0,2
03.21,1236,2,1219,1,0,0
03.22,1238,1,1221,1,0,2
03.23,1240,2,1221,1,0,0
03.24,1241,1,1221,1,0,0
03.25,1243,2,1222,1,0,1
03.26,1247,4,1222,1,0,0
03.27,1251,4,1225,1,0,3
03.28,1254,3,1225,1,0,0
03.29,1255,1,1225,1,0,0
03.30,1257,2,1226,1,0,1
03.31,1257,0,1226,1,0,0
04.01,1258,1,1228,1,0,2
04.02,1260,2,1228,1,0,0
04.03,1262,2,1229,1,0,1
04.04,1263,1,1230,1,0,1
04.05,1264,1,1230,1,0,0
04.06,1265,1,1230,1,0,0
04.07,1266,1,1232,1,0,2
04.08,1267,1,1235,1,0,3
04.09,1267,0,1235,1,0,0
04.10,1267,0,1236,1,0,1
04.11,1267,0,1238,1,0,2
04.12,1267,0,1239,1,0,1
04.13,1267,0,1242,1,0,3
04.14,1268,1,1244,1,0,2
04.15,1268,0,1244,1,0,0
04.16,1268,0,1246,1,0,2
04.17,1268,0,1246,1,0,0
04.18,1268,0,1247,1,0,1
04.19,1268,0,1249,1,0,2
04.20,1268,0,1251,1,0,2
04.21,1268,0,1252,1,0,1
04.22,1268,0,1252,1,0,0
04.23,1268,0,1256,1,0,4
04.24,1268,0,1256,1,0,0
04.25,1268,0,1257,1,0,1
04.26,1268,0,1258,1,0,1
04.27,1268,0,1261,1,0,3
04.28,1268,0,1262,1,0,1
04.29,1268,0,1263,1,0,1
04.30,1268,0,1264,1,0,1
05.01,1268,0,1265,1,0,1
05.02,1268,0,1265,1,0,0
05.03,1268,0,1265,1,0,0
05.04,1268,0,1267,1,0,2
05.05,1268,0,1267,1,0,0
05.06,1268,0,1267,1,0,0
05.07,1268,0,1267,1,0,0
05.08,1268,0,1267,1,0,0
05.09,1268,0,1267,1,0,0
05.10,1268,0,1267,1,0,0
05.11,1268,0,1267,1,0,0
05.12,1268,0,1267,1,0,0
05.13,1268,0,1267,1,0,0
05.14,1268,0,1267,1,0,0
05.15,1268,0,1267,1,0,0
05.16,1268,0,1267,1,0,0
05.17,1268,0,1267,1,0,0
05.18,1268,0,1267,1,0,0
05.19,1268,0,1267,1,0,0
05.20,1268,0,1267,1,0,0
05.21,1268,0,1267,1,0,0
05.22,1268,0,1267,1,0,0
05.23,1268,0,1267,1,0,0
05.24,1268,0,1267,1,0,0
05.25,1268,0,1267,1,0,0
05.26,1268,0,1267,1,0,0
05.27,1268,0,1267,1,0,0
05.28,1268,0,1267,1,0,0
05.29,1268,0,1267,1,0,0
05.30,1268,0,1267,1,0,0
05.31,1268,0,1267,1,0,0
06.01,1268,0,1267,1,0,0
06.02,1268,0,1267,1,0,0
06.03,1268,0,1267,1,0,0
06.04,1268,0,1267,1,0,0
06.05,1268,0,1267,1,0,0
06.06,1268,0,1267,1,0,0
06.07,1268,0,1267,1,0,0
06.08,1268,0,1267,1,0,0
06.09,1268,0,1267,1,0,0
06.10,1268,0,1267,1,0,0
06.11,1268,0,1267,1,0,0
06.12,1268,0,1267,1,0,0
06.13,1268,0,1267,1,0,0
06.14,1268,0,1267,1,0,0
06.15,1268,0,1267,1,0,0
06.16,1268,1,1267,1,0,0
06.17,1269,0,1267,1,0,0
06.18,1269,0,1267,1,0,0
06.19,1269,0,1267,1,0,0
