日期,新增确诊,确诊总数,治愈数,死亡数
03.07,3,3,0,0
03.08,2,5,0,0
03.09,0,5,0,0
03.10,0,5,0,0
03.11,0,5,0,0
03.12,14,19,0,0
03.13,0,19,0,0
03.14,15,34,0,1
03.15,25,59,0,1
03.16,22,81,0,1
03.17,0,81,0,1
03.18,122,203,0,2
03.19,132,335,0,4
03.20,149,484,0,4
03.21,335,670,0,8
03.22,128,798,0,8
03.23,0,798,6,8
03.24,77,875,0,8
03.25,224,1099,0,8
03.26,234,1333,0,8
03.27,120,1453,0,9
03.28,152,1605,0,15
03.29,226,1831,40,18
03.30,157,1988,40,22
03.31,0,1988,80,22
04.01,190,2178,80,23
04.02,141,2319,80,29
04.03,168,2487,80,30
04.04,125,2612,500,31
04.05,117,2729,500,31
04.06,75,2804,500,36
04.07,39,2843,500,41
04.08,127,2970,500,44
04.09,64,3034,500,46
04.10,81,3115,500,52
04.11,108,3223,500,54
04.12,47,3270,500,62
04.13,11,3281,500,66
04.14,11,3292,500,69
04.15,15,3307,500,67
04.16,66,3373,526,69
04.17,71,3444,552,69
04.18,36,3480,579,72
04.19,57,3537,601,72
04.20,13,3550,627,73
04.21,8,3558,637,75
04.22,60,3618,670,78
04.23,36,3654,711,80
04.24,11,3665,728,83
04.25,30,3695,3007,85
04.26,16,3711,3088,85
04.27,12,3723,3104,88
04.28,6,3729,3123,88
04.29,12,3741,3123,89
04.30,28,3769,3134,89
05.01,15,3784,3213,90
05.02,18,3802,3213,92
05.03,10,3812,3318,92
05.04,12,3824,3379,96
05.05,4,3828,3405,96
05.06,12,3840,3412,96
05.07,11,3851,3452,98
05.08,8,3859,3505,100
05.09,12,3871,3526,100
05.10,6,3877,3550,101
05.11,9,3886,3586,101
05.12,2,3888,3602,101
05.13,6,3894,3610,102
05.14,10,3904,3629,103
05.15,11,3915,3665,103
05.16,8,3923,3682,104
05.17,7,3930,3699,104
05.18,15,3945,3702,107
05.19,2,3947,3715,107
05.20,11,3958,3718,109
05.21,13,3971,3728,109
05.22,9,3980,3741,109
05.23,1,3981,3748,109
05.24,9,3990,3758,109
05.25,2,3992,3767,110
05.26,1,3993,3781,110
05.27,2,3995,3783,110
05.28,6,4001,3791,110
05.29,7,4008,3803,110
05.30,4,4012,3815,110
05.31,4,4016,3815,110
06.01,2,4018,3833,110
06.02,1,4019,3845,110
06.03,1,4020,3848,110
06.04,4,4024,3861,110
06.05,3,4027,3874,110
06.06,5,4032,3885,110
06.07,3,4035,3888,110
06.08,4,4039,3899,110
06.09,1,4040,3901,110
06.10,6,4046,3902,110
06.11,3,4049,3904,110
06.12,3,4052,3910,110
06.13,3,4055,3918,110
06.14,8,4063,3922,110
06.15,7,4070,3929,110
06.16,2,4072,3931,110
06.17,3,4075,3933,110
06.18,0,4075,3933,110
