日期,总确诊数,新增确诊数,总治愈数,总死亡数,新增死亡数,新增治愈数
﻿01.28,82,0,0,0,0,0
01.29,101,19,0,0,0,0
01.30,120,19,0,0,0,0
01.31,144,24,0,0,0,0
02.01,159,15,0,0,0,0
02.02,179,20,0,0,0,0
02.03,194,15,1,0,0,1
02.05,215,10,12,0,0,11
02.06,224,9,15,0,0,3
02.07,239,15,20,0,0,5
02.08,250,11,24,0,0,4
02.09,261,11,35,0,0,11
02.10,267,6,39,0,0,4
02.11,272,5,46,0,0,7
02.12,279,7,54,0,0,8
02.13,281,2,59,0,0,5
02.14,285,4,66,0,0,7
02.15,287,2,77,0,0,11
02.16,290,3,84,0,0,7
02.17,292,2,91,0,0,7
02.18,293,1,96,0,0,5
02.19,293,0,112,1,1,16
02.20,293,0,134,1,0,22
02.21,293,0,150,1,0,16
02.22,293,0,165,1,0,15
02.23,293,0,174,1,0,9
02.24,294,1,188,1,0,14
02.25,294,0,205,1,0,17
02.26,296,2,225,1,0,20
02.27,296,0,232,1,0,7
02.28,296,0,241,1,0,9
02.29,296,0,243,1,0,2
03.01,296,0,247,1,0,4
03.02,296,0,255,1,0,8
03.03,296,0,261,1,0,6
03.04,296,0,270,1,0,9
03.05,296,0,278,1,0,8
03.06,296,0,284,1,0,6
03.07,296,0,295,1,0,11
03.08,296,0,295,1,0,0
03.09,296,0,295,1,0,0
03.10,296,0,295,1,0,0
03.11,296,0,295,1,0,0
03.12,296,0,295,1,0,0
03.13,296,0,295,1,0,0
03.14,296,0,295,1,0,0
03.15,296,0,295,1,0,0
03.16,296,0,295,1,0,0
03.17,296,0,295,1,0,0
03.18,296,0,295,1,0,0
03.19,296,0,295,1,0,0
03.20,299,3,295,1,0,0
03.21,303,4,295,1,0,0
03.22,313,6,295,1,0,0
03.23,318,5,295,1,0,0
03.24,322,4,295,1,0,0
03.25,328,6,295,1,0,0
03.26,331,3,295,1,0,0
03.27,337,6,295,1,0,0
03.28,338,1,295,1,0,0
03.29,340,2,295,1,0,0
03.30,343,3,295,1,0,0
03.31,345,2,297,1,0,2
04.01,345,0,299,1,0,2
04.02,349,4,300,1,0,1
04.03,350,1,301,1,0,1
04.04,350,0,303,1,0,2
04.05,350,0,305,1,0,2
04.06,351,1,305,1,0,0
04.07,351,0,307,1,0,2
04.08,351,0,308,1,0,1
04.09,351,0,311,1,0,3
04.10,351,0,317,1,0,6
04.11,352,1,321,1,0,4
04.12,352,1,325,1,0,4
04.13,353,1,329,1,0,4
04.14,353,0,331,1,0,2
04.15,353,0,333,1,0,2
04.16,354,1,334,1,0,1
04.17,355,1,336,1,0,2
04.18,355,0,339,1,0,3
04.19,355,0,339,1,0,0
04.20,355,0,341,1,0,2
04.21,355,0,342,1,0,1
04.22,355,0,342,1,0,0
04.23,355,0,346,1,0,4
04.24,355,0,349,1,0,3
04.25,355,0,349,1,0,0
04.26,355,0,349,1,0,0
04.27,355,0,349,1,0,0
04.28,355,0,352,1,0,3
04.29,355,0,353,1,0,1
04.30,356,1,353,1,0,0
05.01,356,0,353,1,0,0
05.02,356,0,353,1,0,0
05.03,356,0,353,1,0,0
05.04,356,0,353,1,0,0
05.05,356,0,353,1,0,0
05.06,356,0,354,1,0,1
05.07,356,0,354,1,0,0
05.08,356,0,354,1,0,0
05.09,356,0,354,1,0,0
05.10,356,0,354,1,0,0
05.11,356,0,354,1,0,0
05.12,356,0,354,1,0,0
05.13,356,0,354,1,0,0
05.14,356,0,355,1,0,1
05.15,356,0,355,1,0,0
05.16,356,0,355,1,0,0
05.17,356,0,355,1,0,0
05.18,356,0,355,1,0,0
05.19,356,0,355,1,0,0
05.20,356,0,355,1,0,0
05.21,356,0,355,1,0,0
05.22,356,0,355,1,0,0
05.23,356,0,355,1,0,0
05.24,356,0,355,1,0,0
05.25,357,1,355,1,0,0
05.26,357,0,355,1,0,0
05.27,358,1,355,1,0,0
05.28,358,0,355,1,0,0
05.29,358,0,355,1,0,0
05.30,358,0,355,1,0,0
05.31,358,0,356,1,0,1
06.01,358,0,356,1,0,0
06.02,358,0,356,1,0,0
06.03,358,0,356,1,0,0
06.04,358,0,356,1,0,0
06.05,358,0,356,1,0,0
06.06,359,1,356,1,0,0
06.07,359,0,356,1,0,0
06.08,359,0,356,1,0,0
06.09,359,0,356,1,0,0
06.10,360,1,356,1,0,0
06.11,361,1,356,1,0,0
06.12,361,0,356,1,0,0
06.13,361,0,356,1,0,0
06.14,362,1,356,1,0,0
06.15,362,0,356,1,0,0
06.16,362,0,356,1,0,0
06.17,362,0,356,1,0,0
06.18,362,0,357,1,0,1
06.19,362,0,357,1,0,0
