日期,新增确诊,确诊总数,治愈数,死亡数
01.29,0,4,0,0
01.30,0,4,0,0
01.31,1,5,0,0
02.01,0,5,0,0
02.02,0,5,0,0
02.03,0,5,0,0
02.04,0,5,0,0
02.05,0,5,0,0
02.06,0,5,0,0
02.07,0,5,0,0
02.08,2,7,1,0
02.09,0,7,1,0
02.10,0,7,1,0
02.11,1,8,1,0
02.12,0,8,1,0
02.13,0,8,1,0
02.14,0,8,1,0
02.15,0,8,1,0
02.16,0,8,4,0
02.17,1,9,4,0
02.18,0,9,4,0
02.19,0,9,4,0
02.20,0,9,4,0
02.21,0,9,4,0
02.22,4,13,4,0
02.23,0,13,4,0
02.24,0,13,4,0
02.25,0,13,4,0
02.26,0,13,4,0
02.27,0,13,4,0
02.28,6,19,5,0
02.29,2,21,5,0
03.01,0,21,5,0
03.02,0,21,5,0
03.03,0,21,5,0
03.04,6,27,5,0
03.05,1,28,5,0
03.06,1,29,5,0
03.07,16,45,7,0
03.08,0,45,7,0
03.09,14,59,7,0
03.10,15,74,17,0
03.11,0,74,17,0
03.12,11,85,17,0
03.13,0,85,17,0
03.14,0,85,17,0
03.15,12,86,23,0
03.16,12,98,26,0
03.17,0,98,26,0
03.18,15,113,26,0
03.19,27,140,31,0
03.20,0,140,31,0
03.21,13,153,38,2
03.22,0,153,38,2
03.23,45,198,41,2
03.24,0,198,41,2
03.25,135,333,52,2
03.26,0,333,52,2
03.27,0,333,52,2
03.28,63,468,55,2
03.29,0,468,55,2
03.30,143,611,61,5
03.31,53,664,61,6
04.01,0,664,61,6
04.02,150,814,61,8
04.03,210,1024,96,8
04.04,481,1505,125,10
04.05,0,1505,125,10
04.06,571,2076,167,11
04.07,0,2076,167,11
04.08,583,2659,239,12
04.09,0,2659,239,12
04.10,331,2990,268,14
04.11,746,3736,588,20
04.12,0,3736,588,20
04.13,387,4123,852,25
04.14,398,4521,852,25
04.15,412,4933,933,28
04.16,432,5365,1034,33
04.17,460,5825,1095,35
04.18,477,6302,1188,37
04.19,479,6781,1286,41
04.20,484,7265,1360,43
04.21,490,7755,1443,46
04.22,483,8238,1546,52
04.23,518,8756,1637,56
04.24,525,9281,1760,64
04.25,0,9281,1760,64
04.26,1068,10349,1978,76
04.27,0,10349,1978,76
04.28,1031,11380,2181,89
04.29,0,11380,2181,89
04.30,1101,12481,2429,105
05.01,557,13038,2543,111
05.02,0,13038,2543,111
05.03,561,13599,2664,119
05.04,564,14163,2763,126
05.05,1029,15192,3153,146
05.06,0,15192,3153,146
05.07,1048,16240,3572,165
05.08,553,16793,3837,174
05.09,0,16793,3837,174
05.10,1405,18198,4804,198
05.11,0,18198,4804,198
05.12,1463,19661,6012,203
05.13,0,19661,6012,203
05.14,1423,21084,6930,208
05.15,747,21831,7328,210
05.16,0,21831,7328,210
05.17,1527,23358,8512,220
05.18,0,23358,8512,220
05.19,1705,25063,10791,227
05.20,0,25063,10791,227
05.21,941,26004,11809,233
05.22,894,26898,12755,237
05.23,994,27892,13798,241
05.24,1593,29485,15056,245
05.25,0,29485,15056,245
05.26,1601,31086,15982,253
05.27,0,31086,15982,253
05.28,1446,32532,16685,258
05.29,638,33170,17097,260
05.30,0,33170,17097,260
05.31,1387,34557,17932,264
06.01,0,34557,17932,264
06.02,1231,35788,18726,269
06.03,0,35788,18726,269
06.04,1230,37018,19572,273
06.05,0,37018,19572,273
06.06,624,37642,20337,274
06.07,1166,38808,21806,276
06.08,0,38808,21806,276
06.09,1096,39904,22740,283
06.10,0,39904,22740,283
06.11,1082,40986,25234,286
06.12,513,41499,25946,287
06.13,491,41990,26761,288
06.14,304,42294,27462,289
06.15,0,42294,27462,289
06.16,688,42982,28861,293
06.17,0,42982,28861,293
