日期,总确诊数,新增确诊数,总治愈数,总死亡数,新增死亡数,新增治愈数
﻿01.26,14,4,0,0,0,0
01.27,23,9,0,0,0,0
01.28,24,1,0,0,0,0
01.29,27,3,0,0,0,0
01.30,31,4,0,0,0,0
01.31,32,1,0,0,0,0
02.01,41,9,0,0,0,0
02.02,48,7,1,0,0,1
02.03,60,12,1,0,0,0
02.04,67,7,2,0,0,1
02.05,69,2,2,0,0,0
02.06,79,10,2,1,1,0
02.07,81,2,2,1,0,0
02.08,88,7,4,1,0,2
02.09,91,3,4,1,0,0
02.10,95,4,8,2,1,4
02.11,107,12,10,2,0,2
02.12,113,7,11,2,0,1
02.13,119,7,21,3,1,10
02.14,120,1,32,3,0,11
02.15,122,2,37,3,0,5
02.16,125,3,45,3,0,8
02.17,127,3,46,3,0,1
02.18,128,3,48,3,0,2
02.19,130,2,54,3,0,6
02.20,131,1,59,3,0,5
02.21,133,2,62,3,0,3
02.22,135,4,65,3,0,3
02.23,135,0,87,3,0,22
02.24,135,0,87,3,0,0
02.25,135,0,91,3,0,4
02.26,135,0,96,3,0,5
02.27,136,1,105,3,0,9
02.28,136,1,105,3,0,0
02.29,136,0,109,3,0,4
03.01,136,0,111,3,0,2
03.02,136,0,118,3,0,7
03.03,136,0,124,3,0,6
03.04,136,0,128,3,0,4
03.05,136,0,128,3,0,0
03.07,136,0,129,3,0,1
03.08,136,0,130,3,0,1
03.09,136,0,130,3,0,0
03.10,136,0,131,3,0,1
03.11,136,0,132,3,0,1
03.12,136,0,132,3,0,0
03.13,136,0,132,3,0,0
03.14,136,0,132,3,0,0
03.15,136,0,133,3,0,1
03.16,136,0,133,3,0,0
03.17,136,0,133,3,0,0
03.18,136,0,133,3,0,0
03.19,137,1,133,3,0,0
03.20,137,0,133,3,0,0
03.21,137,0,133,3,0,0
03.22,141,4,133,3,0,0
03.23,142,1,133,3,0,0
03.24,145,4,133,3,0,0
03.25,151,4,133,3,0,0
03.26,152,5,133,3,0,0
03.27,156,4,133,3,0,0
03.28,163,7,133,3,0,0
03.29,166,3,133,3,0,0
03.30,174,8,133,3,0,0
03.31,174,0,135,3,0,2
04.01,176,2,135,3,0,0
04.02,177,1,140,3,0,5
04.03,180,3,140,3,0,0
04.04,180,0,144,3,0,4
04.05,180,0,144,3,0,0
04.06,180,0,151,3,0,7
04.07,180,0,152,3,0,1
04.08,181,1,152,3,0,0
04.09,182,1,154,3,0,2
04.10,183,1,158,3,0,4
04.11,183,0,161,3,0,3
04.12,184,1,161,3,0,0
04.13,184,0,164,3,0,3
04.14,185,1,168,3,0,4
04.15,186,1,172,3,0,4
04.16,189,4,172,3,0,0
04.17,189,3,173,3,0,1
04.18,189,0,173,3,0,0
04.19,189,0,174,3,0,1
04.20,189,0,174,3,0,0
04.21,189,0,176,3,0,2
04.22,189,0,178,3,0,2
04.23,189,0,179,3,0,1
04.24,190,1,181,3,0,2
04.25,190,0,182,3,0,1
04.26,190,0,182,3,0,0
04.27,190,0,182,3,0,0
04.28,190,0,183,3,0,1
04.29,190,0,183,3,0,0
04.30,190,0,184,3,0,1
05.01,190,0,185,3,0,1
05.02,190,0,186,3,0,1
05.03,190,0,186,3,0,0
05.04,190,0,186,3,0,0
05.05,190,0,186,3,0,0
05.06,190,0,186,3,0,0
05.07,190,0,186,3,0,0
05.08,191,1,186,3,0,0
05.09,191,0,186,3,0,0
05.10,191,0,186,3,0,0
05.11,191,0,186,3,0,0
05.12,191,0,186,3,0,0
05.13,191,0,187,3,0,1
05.14,191,0,187,3,0,0
05.15,191,0,187,3,0,0
05.16,192,1,187,3,0,0
05.17,192,0,187,3,0,0
05.18,192,0,187,3,0,0
05.19,192,0,187,3,0,0
05.20,192,0,187,3,0,0
05.21,192,0,187,3,0,0
05.22,192,0,187,3,0,0
05.23,192,0,187,3,0,0
05.24,192,0,188,3,0,1
05.25,192,0,188,3,0,0
05.26,192,0,188,3,0,0
05.27,192,0,188,3,0,0
05.28,192,0,188,3,0,0
05.29,192,0,188,3,0,0
05.30,192,0,188,3,0,0
05.31,192,0,188,3,0,0
06.01,192,0,188,3,0,0
06.02,192,0,188,3,0,0
06.03,192,0,188,3,0,0
06.04,192,0,189,3,0,1
06.05,192,0,189,3,0,0
06.06,193,1,189,3,0,0
06.07,193,0,189,3,0,0
06.08,193,0,189,3,0,0
06.09,194,1,189,3,0,0
06.10,195,1,189,3,0,0
06.11,195,0,189,3,0,0
06.12,196,1,189,3,0,0
06.13,196,0,189,3,0,0
06.14,196,0,189,3,0,0
06.15,196,0,189,3,0,0
06.16,196,0,189,3,0,0
06.17,197,1,191,3,0,2
06.18,197,0,191,3,0,0
06.19,197,0,191,3,0,0
