日期,新增确诊,确诊总数,治愈数,死亡数
03.16,1,1,0,0
03.17,0,1,0,0
03.18,0,1,0,0
03.19,0,1,0,0
03.20,0,1,0,0
03.21,0,1,0,0
03.22,0,1,0,0
03.23,0,1,0,0
03.24,0,1,0,0
03.25,0,1,0,0
03.26,1,2,0,0
03.27,1,3,0,0
03.28,0,3,0,0
03.29,0,3,0,0
03.30,0,3,0,0
03.31,0,3,1,0
04.01,2,5,1,0
04.02,0,5,1,0
04.03,0,5,1,0
04.04,2,7,1,0
04.05,0,7,1,0
04.06,0,7,1,0
04.07,0,7,1,0
04.08,1,8,1,0
04.09,4,12,1,1
04.10,0,12,1,1
04.11,9,21,1,1
04.12,0,21,2,1
04.13,4,25,2,2
04.14,35,60,2,2
04.15,0,60,2,2
04.16,20,80,2,5
04.17,0,80,2,5
04.18,36,116,2,6
04.19,19,135,2,7
04.20,29,164,3,7
04.21,73,237,4,8
04.22,49,286,4,8
04.23,0,286,4,8
04.24,42,328,8,16
04.25,62,390,8,18
04.26,46,436,10,23
04.27,0,436,10,23
04.28,44,480,14,26
04.29,102,582,20,28
04.30,0,582,20,28
05.01,19,601,31,28
05.02,0,601,31,28
05.03,70,671,34,31
05.04,51,722,44,32
05.05,113,835,75,38
05.06,0,835,75,38
05.07,38,873,87,39
05.08,55,928,106,44
05.09,0,928,106,44
05.10,126,1054,118,51
05.11,0,1054,118,51
05.12,35,1089,121,52
05.13,130,1219,130,52
05.14,0,1219,130,52
05.15,65,1284,135,53
05.16,0,1284,135,53
05.17,73,1357,148,55
05.18,64,1421,152,56
05.19,34,1455,163,57
05.20,47,1502,178,59
05.21,71,1573,188,61
05.22,21,1594,204,61
05.23,0,1594,204,61
05.24,0,1594,204,61
05.25,95,1689,235,66
05.26,0,1689,235,66
05.27,22,1711,253,67
05.28,20,1731,265,67
05.29,97,1828,310,72
05.30,0,1828,310,72
05.31,148,1976,348,78
06.01,47,2023,361,79
06.02,66,2089,361,79
06.03,0,2089,361,79
06.04,115,2204,418,79
06.05,0,2204,418,79
06.06,85,2289,431,82
06.07,0,2289,431,82
06.08,79,2368,470,84
06.09,48,2416,489,85
06.10,0,2416,489,85
06.11,97,2513,532,85
06.12,0,2513,532,85
06.13,0,2513,532,85
06.14,66,2579,559,87
06.15,39,2618,577,88
06.16,24,2642,622,88
06.17,16,2658,649,88
06.18,0,2658,649,88
