日期,总确诊数,新增确诊数,总治愈数,总死亡数,新增死亡数,新增治愈数
﻿01.29,70,19,0,0,0,0
01.30,80,10,0,0,0,0
01.31,91,11,1,0,0,1
02.01,99,8,1,0,0,0
02.02,109,10,3,0,0,2
02.03,117,8,5,0,0,2
02.04,122,3,5,0,0,0
02.05,128,6,5,0,0,0
02.06,133,9,6,0,0,1
02.07,136,3,13,0,0,7
02.08,138,2,17,0,0,4
02.09,141,3,18,0,0,1
02.10,149,8,19,0,0,1
02.11,154,5,20,0,0,1
02.12,155,1,23,0,0,3
02.13,162,7,27,0,0,4
02.14,162,7,35,0,0,8
02.15,169,1,42,0,0,7
02.16,171,2,42,0,0,0
02.17,172,1,47,0,0,5
02.18,173,1,57,0,0,10
02.19,173,0,60,1,1,3
02.20,172,-1,79,2,1,19
02.21,174,0,107,2,0,28
02.22,174,0,115,2,0,8
02.23,174,0,115,2,0,0
02.24,174,0,124,2,0,9
02.25,174,0,144,2,0,20
02.26,174,0,144,2,0,0
02.27,174,0,150,2,0,6
02.28,174,0,156,2,0,6
02.29,174,0,163,2,0,7
03.01,174,0,163,2,0,0
03.01,174,0,163,2,0,0
03.02,174,0,168,2,0,5
03.03,174,0,169,2,0,1
03.04,174,0,169,2,0,0
03.05,174,0,169,2,0,0
03.06,174,0,170,2,0,1
03.07,174,0,170,2,0,0
03.08,174,0,170,2,0,0
03.09,174,0,170,2,0,0
03.10,174,0,170,2,0,0
03.11,174,0,170,2,0,0
03.12,174,0,170,2,0,0
03.13,174,0,170,2,0,0
03.14,174,0,172,2,0,2
03.15,175,1,172,2,0,0
03.16,176,1,172,2,0,0
03.17,176,0,172,2,0,0
03.18,176,0,172,2,0,0
03.19,176,0,172,2,0,0
03.20,176,0,172,2,0,0
03.21,176,0,172,2,0,0
03.22,176,0,172,2,0,0
03.23,176,0,172,2,0,0
03.24,176,0,172,2,0,0
03.25,178,2,172,2,0,0
03.26,180,2,172,2,0,0
03.27,180,2,172,2,0,0
03.28,180,0,172,2,0,0
03.29,180,0,172,2,0,0
03.30,181,1,172,2,0,0
03.31,182,1,172,2,0,0
04.01,183,1,172,2,0,0
04.02,184,1,172,2,0,0
04.03,184,0,172,2,0,0
04.04,184,0,172,2,0,0
04.05,184,0,172,2,0,0
04.06,184,0,173,2,0,1
04.07,184,0,173,2,0,0
04.08,184,0,173,2,0,0
04.09,184,0,173,2,0,0
04.10,184,0,174,2,0,1
04.11,184,0,174,2,0,0
04.12,184,0,174,2,0,0
04.13,184,0,175,2,0,1
04.14,184,0,176,2,0,1
04.15,184,0,176,2,0,0
04.16,184,0,177,2,0,1
04.17,184,0,177,2,0,0
04.18,184,0,178,2,0,1
04.19,184,0,178,2,0,0
04.20,184,0,178,2,0,0
04.21,184,0,178,2,0,0
04.22,184,0,178,2,0,0
04.23,184,0,180,2,0,2
04.24,185,1,180,2,0,0
04.25,185,0,181,2,0,1
04.26,185,0,181,2,0,0
04.27,185,0,181,2,0,0
04.28,185,0,181,2,0,0
04.29,185,0,181,2,0,0
04.30,185,0,181,2,0,0
05.01,185,0,181,2,0,0
05.02,185,0,181,2,0,0
05.03,185,0,181,2,0,0
05.04,185,0,181,2,0,0
05.05,185,0,181,2,0,0
05.06,185,0,181,2,0,0
05.07,185,0,182,2,0,1
05.08,185,0,182,2,0,0
05.09,185,0,183,2,0,1
05.10,185,0,183,2,0,0
05.11,185,0,183,2,0,0
05.12,185,0,183,2,0,0
05.13,185,0,183,2,0,0
05.14,185,0,183,2,0,0
05.15,185,0,183,2,0,0
05.16,185,0,183,2,0,0
05.17,185,0,183,2,0,0
05.18,185,0,183,2,0,0
05.19,185,0,183,2,0,0
05.20,185,0,183,2,0,0
05.21,185,0,183,2,0,0
05.22,185,0,183,2,0,0
05.23,185,0,183,2,0,0
05.24,185,0,183,2,0,0
05.25,185,0,183,2,0,0
05.26,185,0,183,2,0,0
05.27,185,0,183,2,0,0
05.28,185,0,183,2,0,0
05.29,185,0,183,2,0,0
05.30,185,0,183,2,0,0
05.31,185,0,183,2,0,0
06.01,185,0,183,2,0,0
06.02,185,0,183,2,0,0
06.03,185,0,183,2,0,0
06.04,185,0,183,2,0,0
06.05,185,0,183,2,0,0
06.06,185,0,183,2,0,0
06.07,185,0,183,2,0,0
06.08,185,0,183,2,0,0
06.08,185,0,183,2,0,0
06.09,185,0,183,2,0,0
06.10,185,0,183,2,0,0
06.11,185,0,183,2,0,0
06.12,185,0,183,2,0,0
06.13,185,0,183,2,0,0
06.14,185,0,183,2,0,0
06.15,185,0,183,2,0,0
06.16,185,0,183,2,0,0
06.17,185,0,183,2,0,0
06.18,185,0,183,2,0,0
06.19,185,0,183,2,0,0
