日期,新增确诊,确诊总数,治愈数,死亡数
02.29,1,1,0,0
03.01,0,1,0,0
03.02,2,3,0,0
03.03,6,9,0,0
03.04,11,20,1,0
03.05,14,34,1,0
03.06,3,37,1,0
03.07,8,45,1,0
03.08,6,55,1,0
03.09,9,58,1,0
03.10,7,65,1,0
03.11,16,81,1,0
03.12,28,109,2,0
03.13,8,117,2,0
03.14,17,134,2,0
03.15,0,134,2,0
03.16,37,171,2,0
03.17,9,180,2,0
03.18,40,220,2,0
03.19,30,250,2,0
03.20,80,330,2,0
03.21,79,409,2,0
03.22,64,473,5,1
03.23,95,568,5,1
03.24,20,588,5,1
03.25,60,648,5,2
03.26,91,739,5,2
03.27,63,802,5,2
03.28,88,890,82,2
03.29,73,963,114,2
03.30,57,1020,135,2
03.31,115,1135,198,2
04.01,85,1220,225,2
04.02,99,1319,284,4
04.03,45,1364,309,4
04.04,53,1417,396,4
04.05,69,1486,428,4
04.06,76,1562,460,4
04.07,24,1586,559,6
04.08,30,1616,633,6
04.09,0,1616,633,6
04.10,59,1675,751,6
04.11,14,1689,841,7
04.12,12,1701,889,8
04.13,0,1701,889,8
04.14,10,1711,933,8
04.15,16,1727,1077,8
04.16,0,1727,1077,8
04.17,27,1754,1224,9
04.18,6,1760,1291,9
04.19,11,1771,1291,9
04.20,2,1773,1362,9
04.21,5,1778,1417,10
04.22,7,1785,1462,10
04.23,4,1789,1509,10
04.24,0,1789,1542,10
04.25,1,1790,1570,10
04.26,2,1792,1608,10
04.27,0,1792,1608,10
04.28,3,1795,1624,10
04.29,2,1797,1656,10
04.30,0,1797,1656,10
05.01,0,1797,1670,10
05.02,1,1798,1706,10
05.03,0,1798,1706,10
05.04,1,1799,1717,10
05.05,0,1799,1723,10
05.06,0,1799,1750,10
05.07,0,1799,1750,10
05.08,2,1801,1755,10
05.09,0,1801,1765,10
05.10,0,1801,1773,10
05.11,0,1801,1773,10
05.12,0,1801,1776,10
05.13,1,1802,1780,10
05.14,0,1802,1780,10
05.15,0,1802,1782,10
05.16,0,1802,1786,10
05.17,0,1802,1786,10
05.18,0,1802,1786,10
05.19,0,1802,1789,10
05.20,1,1803,1789,10
05.21,0,1803,1789,10
05.22,0,1803,1790,10
05.23,1,1804,1791,10
05.24,0,1804,1791,10
05.25,0,1804,1791,10
05.26,0,1804,1792,10
05.27,1,1805,1792,10
05.28,0,1805,1792,10
05.29,0,1805,1794,10
05.30,1,1806,1794,10
05.31,0,1806,1794,10
06.01,0,1806,1794,10
06.02,0,1806,1794,10
06.03,0,1806,1794,10
06.04,0,1806,1794,10
06.05,0,1806,1794,10
06.06,0,1806,1794,10
06.07,1,1807,1794,10
06.08,0,1807,1794,10
06.09,0,1807,1794,10
06.10,0,1807,1794,10
06.11,0,1807,1794,10
06.12,0,1807,1794,10
06.13,1,1808,1794,10
06.14,2,1810,1796,10
06.15,0,1810,1796,10
06.16,2,1812,1796,10
06.17,3,1815,1797,10
06.18,0,1815,1797,10
