日期,总确诊数,新增确诊数,总治愈数,总死亡数,新增死亡数,新增治愈数
﻿01.24,11,3,0,0,0,0
01.25,20,9,0,0,0,0
01.26,27,7,0,0,0,0
01.27,38,11,1,0,0,1
01.28,43,5,1,1,1,0
01.29,46,3,1,1,0,0
01.30,49,3,1,1,0,0
01.31,57,8,1,1,0,0
02.01,62,5,1,1,0,0
02.02,69,7,4,1,0,3
02.03,79,9,4,1,0,0
02.04,89,10,4,1,0,0
02.05,100,11,5,1,0,1
02.06,106,7,8,1,0,3
02.07,117,11,10,2,1,2
02.08,129,12,15,2,0,5
02.09,131,8,19,3,1,4
02.10,142,6,19,3,0,0
02.11,151,9,20,3,0,1
02.12,157,6,27,4,1,7
02.13,157,0,30,4,0,3
02.14,162,4,38,4,0,8
02.15,162,0,39,4,0,1
02.16,162,0,52,4,0,13
02.17,163,1,59,4,0,7
02.18,163,0,79,4,0,20
02.19,168,5,84,4,0,5
02.20,168,0,89,4,0,5
02.21,168,0,96,4,0,7
02.22,168,0,104,4,0,8
02.23,168,0,106,5,1,2
02.24,168,0,116,5,0,10
02.25,168,0,124,5,0,8
02.26,168,0,129,5,0,5
02.27,168,0,132,5,0,3
02.28,168,0,136,5,0,4
02.29,168,0,148,5,0,12
03.01,168,0,151,5,0,3
03.02,168,0,151,5,0,0
03.03,168,0,155,5,0,4
03.04,168,0,158,5,0,3
03.05,168,0,158,6,1,0
03.06,168,0,158,6,0,0
03.07,168,0,158,6,0,0
03.08,168,0,159,6,0,1
03.09,168,0,159,6,0,0
03.10,168,0,159,6,0,0
03.11,168,0,160,6,0,1
03.12,168,0,160,6,0,0
03.13,168,0,160,6,0,0
03.14,168,0,160,6,0,0
03.15,168,0,160,6,0,0
03.16,168,0,161,6,0,1
03.17,168,0,161,6,0,0
03.18,168,0,161,6,0,0
03.19,168,0,161,6,0,0
03.20,168,0,161,6,0,0
03.21,168,0,161,6,0,0
03.22,168,0,161,6,0,0
03.23,168,0,161,6,0,0
03.24,168,0,162,6,0,1
03.25,168,0,162,6,0,0
03.26,168,0,162,6,0,0
03.27,168,0,162,6,0,0
03.28,168,0,162,6,0,0
03.29,168,0,162,6,0,0
03.30,168,0,162,6,0,0
03.31,168,0,162,6,0,0
04.01,168,0,162,6,0,0
04.02,168,0,162,6,0,0
04.03,168,0,162,6,0,0
04.04,168,0,162,6,0,0
04.05,168,0,162,6,0,0
04.06,168,0,162,6,0,0
04.07,168,0,162,6,0,0
04.08,168,0,162,6,0,0
04.09,168,0,162,6,0,0
04.10,168,0,162,6,0,0
04.11,168,0,162,6,0,0
04.12,168,0,162,6,0,0
04.13,168,0,162,6,0,0
04.14,168,0,162,6,0,0
04.15,168,0,162,6,0,0
04.16,168,0,162,6,0,0
04.17,168,0,162,6,0,0
04.18,168,0,162,6,0,0
04.19,168,0,162,6,0,0
04.20,168,0,162,6,0,0
04.21,168,0,162,6,0,0
04.22,168,0,162,6,0,0
04.23,168,0,162,6,0,0
04.24,168,0,162,6,0,0
04.25,168,0,162,6,0,0
04.26,168,0,162,6,0,0
04.27,168,0,162,6,0,0
04.28,168,0,162,6,0,0
04.29,168,0,162,6,0,0
04.30,168,0,162,6,0,0
05.01,168,0,162,6,0,0
05.02,168,0,162,6,0,0
05.03,168,0,162,6,0,0
05.04,168,0,162,6,0,0
05.05,168,0,162,6,0,0
05.06,168,0,162,6,0,0
05.07,168,0,162,6,0,0
05.08,168,0,162,6,0,0
05.09,168,0,162,6,0,0
05.10,168,0,162,6,0,0
05.11,168,0,162,6,0,0
05.12,168,0,162,6,0,0
05.13,168,0,162,6,0,0
05.14,168,0,162,6,0,0
05.15,169,1,162,6,0,0
05.16,169,0,162,6,0,0
05.17,169,0,162,6,0,0
05.18,169,0,162,6,0,0
05.19,169,0,162,6,0,0
05.20,169,0,162,6,0,0
05.21,169,0,162,6,0,0
05.22,169,0,162,6,0,0
05.23,169,0,162,6,0,0
05.24,169,0,162,6,0,0
05.25,169,0,162,6,0,0
05.26,169,0,162,6,0,0
05.27,169,0,162,6,0,0
05.28,169,0,162,6,0,0
05.29,169,0,162,6,0,0
05.30,169,0,162,6,0,0
05.31,169,0,162,6,0,0
06.01,169,0,162,6,0,0
06.02,169,0,162,6,0,0
06.03,169,0,162,6,0,0
06.04,169,0,162,6,0,0
06.05,169,0,162,6,0,0
06.06,170,1,162,6,0,0
06.07,170,0,162,6,0,0
06.08,169,0,162,6,0,0
06.09,169,0,162,6,0,0
06.10,170,0,162,6,0,0
06.11,170,0,162,6,0,0
06.12,171,1,162,6,0,0
06.13,171,0,162,6,0,0
06.14,171,0,163,6,0,1
06.15,171,0,163,6,0,0
06.16,171,0,163,6,0,0
06.17,171,0,163,6,0,0
06.18,171,0,163,6,0,0
06.19,171,0,163,6,0,0
