日期,总确诊数,新增确诊数,总治愈数,总死亡数,新增死亡数,新增治愈数
﻿01.22,5,0,0,0,0,0
01.23,13,8,0,0,0,0
01.24,23,10,0,0,0,0
01.25,33,10,0,0,0,0
01.26,46,13,0,0,0,0
01.27,51,5,0,0,0,0
01.28,58,7,2,0,0,2
01.29,78,20,2,0,0,0
01.30,87,9,2,0,0,0
01.31,100,13,2,0,0,0
02.01,111,11,2,0,0,0
02.02,127,16,2,0,0,0
02.03,139,12,7,0,0,5
02.04,150,11,10,0,0,3
02.05,168,18,14,0,0,4
02.06,172,4,17,0,0,3
02.07,183,11,17,0,0,0
02.08,195,12,18,1,1,1
02.09,210,15,18,1,0,0
02.10,215,5,30,1,0,12
02.11,222,7,31,1,0,1
02.12,222,0,33,2,1,2
02.13,226,4,35,2,0,2
02.14,235,9,40,2,0,5
02.15,237,2,46,2,0,6
02.16,238,1,51,2,0,5
02.17,242,4,58,2,0,7
02.18,244,2,76,2,0,18
02.19,245,1,87,2,0,11
02.20,246,1,95,2,0,8
02.21,249,3,99,2,0,4
02.22,249,0,104,2,0,5
02.23,251,2,107,2,0,3
02.24,252,1,129,2,0,22
02.25,252,0,138,2,0,9
02.26,252,0,159,2,0,21
02.27,252,0,166,2,0,7
02.28,252,0,172,2,0,6
02.29,252,0,179,2,0,7
03.01,252,0,188,2,0,9
03.02,252,0,202,2,0,14
03.03,252,0,202,2,0,0
03.04,252,0,213,2,0,11
03.05,252,0,217,2,0,4
03.06,252,0,219,2,0,2
03.07,252,0,223,2,0,4
03.08,252,0,230,2,0,7
03.09,252,0,234,2,0,4
03.10,252,0,237,2,0,3
03.11,252,0,241,2,0,4
03.12,252,0,243,2,0,2
03.13,252,0,243,2,0,0
03.14,252,0,243,2,0,0
03.15,252,0,247,2,0,4
03.16,253,1,248,2,0,1
03.17,253,0,250,2,0,2
03.18,253,0,250,2,0,0
03.19,254,1,250,2,0,0
03.20,254,1,250,2,0,0
03.21,254,0,250,2,0,0
03.22,254,0,250,2,0,0
03.23,254,0,250,2,0,0
03.24,254,0,250,2,0,0
03.25,254,0,250,2,0,0
03.26,254,0,250,2,0,0
03.27,254,0,250,2,0,0
03.28,254,0,250,2,0,0
03.29,254,0,250,2,0,0
03.30,254,0,250,2,0,0
03.31,254,0,250,2,0,0
04.01,254,0,252,2,0,2
04.02,254,0,252,2,0,0
04.03,254,0,252,2,0,0
04.04,254,0,252,2,0,0
04.05,254,0,252,2,0,0
04.06,254,0,252,2,0,0
04.07,254,0,252,2,0,0
04.08,254,0,252,2,0,0
04.09,254,0,252,2,0,0
04.10,254,0,252,2,0,0
04.11,254,0,252,2,0,0
04.12,254,0,252,2,0,0
04.13,254,0,252,2,0,0
04.14,254,0,252,2,0,0
04.15,254,0,252,2,0,0
04.16,254,0,252,2,0,0
04.17,254,0,252,2,0,0
04.18,254,0,252,2,0,0
04.19,254,0,252,2,0,0
04.20,254,0,252,2,0,0
04.21,254,0,252,2,0,0
04.22,254,0,252,2,0,0
04.23,254,0,252,2,0,0
04.24,254,0,252,2,0,0
04.25,254,0,252,2,0,0
04.26,254,0,252,2,0,0
04.27,254,0,252,2,0,0
04.28,254,0,252,2,0,0
04.29,254,0,252,2,0,0
04.30,254,0,252,2,0,0
05.01,254,0,252,2,0,0
05.02,254,0,252,2,0,0
05.03,254,0,252,2,0,0
05.04,254,0,252,2,0,0
05.05,254,0,252,2,0,0
05.06,254,0,252,2,0,0
05.07,254,0,252,2,0,0
05.08,254,0,252,2,0,0
05.09,254,0,252,2,0,0
05.10,254,0,252,2,0,0
05.11,254,0,252,2,0,0
05.12,254,0,252,2,0,0
05.13,254,0,252,2,0,0
05.14,254,0,252,2,0,0
05.15,254,0,252,2,0,0
05.16,254,0,252,2,0,0
05.17,254,0,252,2,0,0
05.18,254,0,252,2,0,0
05.19,254,0,252,2,0,0
05.20,254,0,252,2,0,0
05.21,254,0,252,2,0,0
05.22,254,0,252,2,0,0
05.23,254,0,252,2,0,0
05.24,254,0,252,2,0,0
05.25,254,0,252,2,0,0
05.26,254,0,252,2,0,0
05.27,254,0,252,2,0,0
05.28,254,0,252,2,0,0
05.29,254,0,252,2,0,0
05.30,254,0,252,2,0,0
05.31,254,0,252,2,0,0
06.01,254,0,252,2,0,0
06.02,254,0,252,2,0,0
06.03,254,0,252,2,0,0
06.04,254,0,252,2,0,0
06.05,254,0,252,2,0,0
06.06,254,0,252,2,0,0
06.07,254,0,252,2,0,0
06.08,254,0,252,2,0,0
06.09,254,0,252,2,0,0
06.10,254,0,252,2,0,0
06.11,254,0,252,2,0,0
06.12,254,0,252,2,0,0
06.13,254,0,252,2,0,0
06.14,254,0,252,2,0,0
06.15,254,0,252,2,0,0
06.16,254,0,252,2,0,0
06.17,254,0,252,2,0,0
06.18,254,0,252,2,0,0
06.19,254,0,252,2,0,0
