日期,新增确诊,确诊总数,治愈数,死亡数
01.28,0,2,0,0
01.29,0,2,0,0
01.30,3,5,0,0
01.31,0,5,0,0
02.01,1,6,0,0
02.02,1,7,0,0
02.03,1,8,0,0
02.04,2,10,3,0
02.05,0,10,3,0
02.06,2,12,3,0
02.07,0,12,3,0
02.08,1,13,3,0
02.09,1,14,3,0
02.10,0,14,3,0
02.11,1,15,3,0
02.12,0,15,7,0
02.13,1,16,7,0
02.14,0,16,7,0
02.15,0,16,7,0
02.16,0,16,7,0
02.17,0,16,7,0
02.18,0,16,7,0
02.19,0,16,7,0
02.20,0,16,7,0
02.21,0,16,15,0
02.22,0,16,15,0
02.23,0,16,15,0
02.24,0,16,15,0
02.25,0,16,16,0
02.26,0,16,16,0
02.27,0,16,16,0
02.28,0,16,16,0
02.29,0,16,16,0
03.01,0,16,16,0
03.02,0,16,16,0
03.03,0,16,16,0
03.04,0,16,16,0
03.05,0,16,16,0
03.06,0,16,16,0
03.07,1,18,16,0
03.08,9,30,16,0
03.09,0,30,16,0
03.10,4,34,16,0
03.11,5,39,16,0
03.12,5,44,16,0
03.13,3,47,16,0
03.14,4,53,16,0
03.15,1,54,16,0
03.16,7,60,16,0
03.17,0,60,16,0
03.18,8,68,16,0
03.19,8,76,16,0
03.20,11,87,17,0
03.21,7,94,17,0
03.22,5,99,17,0
03.23,22,123,17,0
03.24,11,134,17,0
03.25,18,141,17,0
03.26,12,153,17,0
03.27,10,163,20,0
03.28,11,174,20,0
03.29,14,188,25,0
03.30,6,194,52,0
03.31,13,207,57,0
04.01,11,218,63,0
04.02,9,227,75,0
04.03,10,237,85,0
04.04,3,240,90,0
04.05,1,241,90,0
04.06,4,245,95,0
04.07,4,249,123,0
04.08,2,251,126,0
04.09,4,255,128,0
04.10,2,257,144,0
04.11,1,258,144,0
04.12,2,260,144,0
04.13,5,265,145,0
04.14,1,266,169,0
04.15,1,267,171,0
04.16,1,268,177,0
04.17,0,268,198,0
04.18,0,268,201,0
04.19,0,268,203,0
04.20,0,268,214,0
04.21,0,268,216,0
04.22,0,268,223,0
04.23,0,268,224,0
04.24,2,270,225,0
04.25,0,270,225,0
04.26,0,270,225,0
04.27,0,270,225,0
04.28,0,270,225,0
04.29,0,270,222,0
04.30,0,270,219,0
05.01,0,270,219,0
05.02,0,270,219,0
05.03,0,270,219,0
05.04,1,271,219,0
05.05,0,271,232,0
05.06,0,271,232,0
05.07,17,288,233,0
05.08,0,288,241,0
05.09,0,288,241,0
05.10,0,288,241,0
05.11,0,288,249,0
05.12,0,288,252,0
05.13,0,288,252,0
05.14,0,288,260,0
05.15,24,312,260,0
05.16,6,318,260,0
05.17,2,320,260,0
05.18,4,324,263,0
05.19,0,324,263,0
05.20,0,324,263,0
05.21,0,324,264,0
05.22,0,324,266,0
05.23,0,324,267,0
05.24,1,325,267,0
05.25,1,326,272,0
05.26,1,327,272,0
05.27,0,327,278,0
05.28,0,327,278,0
05.29,0,327,279,0
05.30,1,328,279,0
05.31,0,328,279,0
06.01,0,328,293,0
06.02,0,328,298,0
06.03,0,328,298,0
06.04,0,328,302,0
06.05,0,328,307,0
06.06,1,329,307,0
06.07,0,329,307,0
06.08,3,332,316,0
06.09,0,332,316,0
06.10,0,332,317,0
06.11,0,332,321,0
06.12,1,333,323,0
06.13,1,334,323,0
06.14,0,334,323,0
06.15,0,334,323,0
06.16,0,334,325,0
06.17,1,335,325,0
06.18,0,335,325,0
