日期,总确诊数,新增确诊数,总治愈数,总死亡数,新增死亡数,新增治愈数
﻿01.29,65,17,0,1,0,0
01.30,82,17,0,1,0,0
01.31,96,14,0,1,0,0
02.01,104,8,3,1,0,3
02.02,113,9,3,1,0,0
02.03,126,13,3,1,0,0
02.04,135,9,4,1,0,1
02.05,157,22,7,1,0,3
02.06,171,14,16,1,0,9
02.07,195,24,25,1,0,9
02.08,206,11,30,2,1,5
02.09,218,12,35,2,0,5
02.10,239,21,41,2,0,6
02.11,251,12,48,2,0,7
02.12,265,14,54,3,1,6
02.13,283,18,69,3,0,15
02.14,291,8,86,3,0,17
02.15,300,9,100,3,0,14
02.16,301,1,109,3,0,9
02.17,302,1,123,4,1,14
02.18,306,4,136,4,0,13
02.19,307,1,152,5,1,16
02.20,308,1,170,5,0,18
02.21,309,1,184,6,1,14
02.22,311,2,204,6,0,20
02.23,311,0,221,6,0,17
02.24,311,0,241,6,0,20
02.25,312,1,248,6,0,7
02.26,317,5,261,6,0,13
02.27,318,1,274,6,0,13
02.28,318,0,277,6,0,3
02.29,318,0,283,6,0,6
03.01,318,0,294,6,0,11
03.02,318,0,297,6,0,3
03.03,318,0,300,6,0,3
03.04,318,0,301,6,0,1
03.05,318,0,304,6,0,3
03.06,318,0,305,6,0,1
03.07,318,0,307,6,0,2
03.08,318,0,307,6,0,0
03.09,318,0,307,6,0,0
03.10,318,0,307,6,0,0
03.11,318,0,307,6,0,0
03.12,318,0,310,6,0,3
03.13,318,0,310,6,0,0
03.14,318,0,310,6,0,0
03.15,318,0,310,6,0,0
03.16,318,0,310,6,0,0
03.17,318,0,310,6,0,0
03.18,318,0,310,6,0,0
03.19,318,0,310,6,0,0
03.20,318,0,310,6,0,0
03.21,319,1,310,6,0,0
03.22,319,0,310,6,0,0
03.23,319,0,310,6,0,0
03.24,319,0,310,6,0,0
03.25,319,0,310,6,0,0
03.26,319,0,310,6,0,0
03.27,319,0,310,6,0,0
03.28,319,0,310,6,0,0
03.29,319,0,310,6,0,0
03.30,321,2,310,6,0,0
03.31,323,2,310,6,0,0
04.01,325,2,310,6,0,0
04.02,326,1,310,6,0,0
04.03,326,0,310,6,0,0
04.04,327,1,310,6,0,0
04.05,327,0,310,6,0,0
04.06,327,0,312,6,0,2
04.07,327,0,312,6,0,0
04.08,327,0,313,6,0,1
04.09,327,0,313,6,0,0
04.10,327,0,313,6,0,0
04.11,327,0,313,6,0,0
04.12,327,0,313,6,0,0
04.13,327,0,314,6,0,1
04.14,327,0,314,6,0,0
04.15,328,1,315,6,0,1
04.16,328,0,316,6,0,1
04.17,328,0,316,6,0,0
04.18,328,0,316,6,0,0
04.19,328,0,317,6,0,1
04.20,328,0,317,6,0,0
04.21,328,0,317,6,0,0
04.22,328,0,317,6,0,0
04.23,328,0,317,6,0,0
04.24,328,0,318,6,0,1
04.25,328,0,318,6,0,0
04.26,328,0,318,6,0,0
04.27,328,0,318,6,0,0
04.28,328,0,318,6,0,0
04.29,328,0,318,6,0,0
04.30,328,0,318,6,0,0
05.01,328,0,318,6,0,0
05.02,328,0,318,6,0,0
05.03,328,0,318,6,0,0
05.04,328,0,320,6,0,2
05.05,328,0,320,6,0,0
05.06,328,0,320,6,0,0
05.07,328,0,320,6,0,0
05.08,328,0,320,6,0,0
05.09,328,0,321,6,0,1
05.10,328,0,321,6,0,0
05.11,328,0,321,6,0,0
05.12,328,0,321,6,0,0
05.13,328,0,321,6,0,0
05.14,328,0,321,6,0,0
05.15,328,0,321,6,0,0
05.16,328,0,321,6,0,0
05.17,328,0,322,6,0,1
05.18,328,0,322,6,0,0
05.19,328,0,322,6,0,0
05.20,328,0,322,6,0,0
05.21,328,0,322,6,0,0
05.22,328,0,322,6,0,0
05.23,328,0,322,6,0,0
05.24,328,0,322,6,0,0
05.25,328,0,322,6,0,0
05.26,328,0,322,6,0,0
05.27,328,0,322,6,0,0
05.28,328,0,322,6,0,0
05.29,328,0,322,6,0,0
05.30,328,0,322,6,0,0
05.31,328,0,322,6,0,0
06.01,328,0,322,6,0,0
06.02,328,0,322,6,0,0
06.03,328,0,322,6,0,0
06.04,328,0,322,6,0,0
06.05,328,0,322,6,0,0
06.06,328,0,322,6,0,0
06.07,328,0,322,6,0,0
06.08,328,0,322,6,0,0
06.09,328,0,322,6,0,0
06.10,328,0,322,6,0,0
06.11,328,0,322,6,0,0
06.12,328,0,322,6,0,0
06.13,328,0,322,6,0,0
06.14,331,3,322,6,0,0
06.15,335,4,322,6,0,0
06.16,335,1,322,6,0,0
06.17,338,2,322,6,0,0
06.18,340,2,322,6,0,0
06.19,340,2,322,6,0,0
